EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10089931,ROBESON CO., ,03/04/1977,1245,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,155, ,0,0, , ,.5,20,0, ,0, , ,03/04/1977,1245,34.68,-79.20, , ,"","",87
10089932,ROBESON CO., ,03/04/1977,1315,Tornado,0,F1,0,4,250000,0,NC,CST, , ,C,155, ,0,0, , ,11.5,30,0, ,0, , ,03/04/1977,1315,34.48,-79.17,34.65,-79.17,"","",88
10090782,JOHNSTON CO., ,03/04/1977,1415,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,101, ,0,0, , ,.5,20,0, ,0, , ,03/04/1977,1415,35.47,-78.17, , ,"","",89
10090996,WAYNE CO., ,03/04/1977,1435,Tornado,0,F1,0,2,25000,0,NC,CST, , ,C,191, ,0,0, , ,.2,10,0, ,0, , ,03/04/1977,1435,35.48,-78.08, , ,"","",90
10090997,WAYNE CO., ,03/04/1977,1445,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,191, ,0,0, , ,.2,10,0, ,0, , ,03/04/1977,1445,35.18,-78.07, , ,"","",91
10090998,GREENE CO., ,03/04/1977,1545,Tornado,0,F3,0,0,250000,0,NC,CST, , ,C,79, ,0,0, , ,4.9,60,0, ,0, , ,03/04/1977,1545,35.48,-77.55,35.53,-77.48,"","",92
10091000,WILKES CO., ,04/04/1977,2030,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,193, ,0,0, , ,6.4,100,0, ,0, , ,04/04/1977,2030,36.32,-81.02,36.37,-80.92,"","",93
10091001,PENDER CO., ,04/20/1977,1600,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,141, ,0,0, , ,.5,20,0, ,0, , ,04/20/1977,1600,34.75,-77.43, , ,"","",94
10091002,PERSON CO., ,05/05/1977,1640,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,145, ,0,0, , ,.5,30,0, ,0, , ,05/05/1977,1640,36.33,-79.03, , ,"","",95
10091003,EDGECOMBE CO., ,05/05/1977,1730,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,65, ,0,0, , ,1.5,23,0, ,0, , ,05/05/1977,1730,35.87,-77.63, , ,"","",96
10091005,WAKE CO., ,05/07/1977,1450,Tornado,0,F0,0,0,2500,0,NC,CST, , ,C,183, ,0,0, , ,1,23,0, ,0, , ,05/07/1977,1450,35.90,-78.68, , ,"","",97
10091012,MADISON CO., ,06/06/1977,1400,Tornado,0,F1,0,3,250000,0,NC,CST, , ,C,115, ,0,0, , ,19.7,50,0, ,0, , ,06/06/1977,1400,35.92,-82.88,35.77,-82.58,"","",98
10091016,MADISON CO., ,06/06/1977,1415,Tornado,0,F1,0,2,250000,0,NC,CST, , ,C,115, ,0,0, , ,8.7,50,0, ,0, , ,06/06/1977,1415,35.85,-82.63,35.82,-82.48,"","",99
10091017,MADISON CO., ,06/06/1977,1415,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,115, ,0,0, , ,2.7,40,0, ,0, , ,06/06/1977,1415,35.70,-82.65,35.67,-82.62,"","",100
10091021,BUNCOMBE CO., ,06/06/1977,1437,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,21, ,0,0, , ,9.4,33,0, ,0, , ,06/06/1977,1437,35.82,-82.48,35.78,-82.32,"","",101
10091023,BUNCOMBE CO., ,06/06/1977,1456,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,21, ,0,0, , ,8.8,33,0, ,0, , ,06/06/1977,1456,35.77,-82.58,35.70,-82.45,"","",102
10091024,YANCEY CO., ,06/06/1977,1500,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,199, ,0,0, , ,0,33,0, ,0, , ,06/06/1977,1500,35.78,-82.32,35.77,-82.30,"","",103
10091029,CARTERET CO., ,06/09/1977,1030,Tornado,0,F1,0,1,250000,0,NC,CST, , ,C,31, ,0,0, , ,1.3,20,0, ,0, , ,06/09/1977,1030,34.72,-76.70, , ,"","",104
10091041,ONSLOW CO., ,06/27/1977,1505,Tornado,0,F0,0,0,250,0,NC,CST, , ,C,133, ,0,0, , ,.5,17,0, ,0, , ,06/27/1977,1505,34.67,-77.45, , ,"","",105
10091051,CALDWELL CO., ,07/09/1977,1400,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,27, ,0,0, , ,.5,20,0, ,0, , ,07/09/1977,1400,35.87,-81.48, , ,"","",106
10091055,UNION CO., ,07/12/1977,1215,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,179, ,0,0, , ,2.6,80,0, ,0, , ,07/12/1977,1215,34.95,-80.73, , ,"","",107
10091060,ALAMANCE CO., ,07/21/1977,1400,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,1, ,0,0, , ,0,33,0, ,0, , ,07/21/1977,1400,35.88,-79.42, , ,"","",108
10091062,CHATHAM CO., ,07/27/1977,2000,Tornado,0,F1,0,0,250,0,NC,CST, , ,C,37, ,0,0, , ,0,33,0, ,0, , ,07/27/1977,2000,35.65,-79.33, , ,"","",109
10087675,HENDERSON CO., ,08/17/1977,1120,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,89, ,0,0, , ,5.9,50,0, ,0, , ,08/17/1977,1120,35.38,-82.37,35.32,-82.30,"","",110
